hostname	location	active	owned	provider	stboot	ipv4_addr_in	ipv4_in_aws	ipv4_score	include_in_country	weight	pubkey	ipv6_addr_in	ipv6_in_aws	ipv6_score	shadowsocks_addr_in	shadowsocks_in_aws	shadowsocks_score	daita	quic_addr_in	quic_in_aws	quic_score
ca-mtr-wg-307	ca-mtr	True	False	Tzulo	True	23.234.123.2	False	46	True	100	MRbFe1jzuvCprXrnW2H6TpQnWx5MBwjYS+iIAhtrejc=	2607:9000:f00:8::f001	False	None	23.234.123.5	False	None	False	23.234.123.5	False	None
ca-yyc-wg-202	ca-yyc	True	False	techfutures	True	38.240.225.68	False	0	True	100	u9J/fzrSqM2aEFjTs91KEKgBsaQ/I/4XkIP1Z/zYkXA=	2606:9580:438:64::f001	False	None	2606:9580:438:64::b002	False	None	False	None	None	None
ca-yyc-wg-201	ca-yyc	True	False	techfutures	True	38.240.225.36	False	0	True	100	L4RcVwk0cJJp2u8O9+86sdyUpxfYnr+ME57Ex0RY1Wo=	2606:9580:438:32::f001	False	None	2606:9580:438:32::b002	False	None	False	None	None	None
ca-tor-wg-205	ca-tor	True	False	Tzulo	True	23.234.86.2	False	0	True	100	iePZCguBaIxO/7gqQGDDYwl6YzMZj5910nK2Q9bDP14=	2607:9000:600:35::f001	False	None	23.234.86.13	False	None	False	23.234.86.12	False	None
ca-tor-wg-207	ca-tor	True	False	Tzulo	True	23.234.87.2	False	0	True	100	8VmxIxjz5W44ubaBuIt5JEngh7fKCvdmdG9WBN2oqhw=	2607:9000:600:37::f001	False	None	23.234.87.13	False	None	False	23.234.87.12	False	None
ch-zrh-wg-004	ch-zrh	False	True	31173	True	193.32.127.69	False	14	True	50	C3jAgPirUZG6sNYe4VuAgDEYunENUyG34X42y+SBngQ=	2a03:1b20:a:f011::f301	False	None	2a03:1b20:a:f011::b302	False	None	True	None	None	None
ch-zrh-wg-006	ch-zrh	True	True	31173	True	193.32.127.84	False	14	True	50	wDjbvO94t0UI1RlimpEFFv7kJ6DngthvuRX6uBN0wAA=	2a03:1b20:a:f011::f601	False	None	2a03:1b20:a:f011::b602	False	None	True	None	None	None
ca-mtr-wg-001	ca-mtr	True	False	M247	True	146.70.198.66	False	52	True	100	TUCaQc26/R6AGpkDUr8A8ytUs/e5+UVlIVujbuBwlzI=	2a0d:5600:9:c::f001	False	None	None	None	None	False	146.70.198.126	False	None
ch-zrh-wg-201	ch-zrh	True	False	PrivateLayer	True	179.43.189.66	False	23	True	100	66NPINP4+1AlojLP0J6O9GxdloiegNnGMV4Yit9Kzg0=	2a02:29b8:dc01:1832::f001	False	None	2a02:29b8:dc01:1831::b002	False	None	False	None	None	None
ch-zrh-wg-402	ch-zrh	True	False	DataPacket	True	138.199.6.207	False	9	True	80	7VCMEE+Oljm/qKfQJSUCOYPtRSwdOnuPyqo5Vob+GRY=	2a02:6ea0:d406:2::a19f	False	None	None	None	None	False	None	None	None
